name,rating,rating_count,company_type,Head_Quarters,No_of_Job,reviews
Shoppers Stop,3.9,(2.9k),Retail,Mumbai +85 other locations,43,2.9k
Shree Cement,3.8,(2.9k),Building Material,Beawar +267 other locations,11,2.9k
Apollo Tyres,4.0,(2.9k),Auto Components,Chennai +181 other locations,16,2.9k
Fiserv,2.8,(2.9k),FinTech,Pune +33 other locations,53,2.9k
Britannia,4.0,(2.9k),Hospitality,Pune +307 other locations,20,2.9k
Landmark Group,3.8,(2.8k),Retail,Bengaluru +175 other locations,6,2.8k
Dalmia Bharat Cement,3.9,(2.8k),Building Material,Guwahati +255 other locations,1,2.8k
SRF,4.1,(2.8k),Chemicals,Bharuch +68 other locations,17,2.8k
Exl India,3.5,(2.8k),Logistics,New Delhi +45 other locations,2,2.8k
Kansai Nerolac Paints,3.8,(2.8k),Chemicals,Mumbai +265 other locations,70,2.8k
